trip_id,arrival_time,departure_time,stop_id,stop_sequence
24-12-2024_0,0.3:00,0.3:00,STD,1
24-12-2024_0,1:00,1:00,STR,2
24-12-2024_0,1.3:00,1.3:00,BETH,3
24-12-2024_0,2:00,2:00,LIV,4
24-12-2024_0,2.3:00,2.3:00,BETH,5
24-12-2024_1,0.5:00,0.5:00,STD,1
24-12-2024_1,1.2:00,1.2:00,STR,2
24-12-2024_1,1.5:00,1.5:00,BETH,3
24-12-2024_1,2.2:00,2.2:00,LIV,4
24-12-2024_1,2.5:00,2.5:00,BETH,5
24-12-2024_2,1.05:00,1.05:00,STD,1
24-12-2024_2,1.3:00,1.3:00,STR,2
24-12-2024_2,2:00,2:00,BETH,3
24-12-2024_2,2.3:00,2.3:00,LIV,4
24-12-2024_2,3:00,3:00,BETH,5
24-12-2024_3,1.15:00,1.15:00,STD,1
24-12-2024_3,1.4:00,1.4:00,STR,2
24-12-2024_3,2.1:00,2.1:00,BETH,3
24-12-2024_3,2.4:00,2.4:00,LIV,4
24-12-2024_3,3.1:00,3.1:00,BETH,5
24-12-2024_4,6.2:00,6.2:00,STD,1
24-12-2024_4,7.2:00,7.2:00,STR,2
24-12-2024_4,7.5:00,7.5:00,BETH,3
24-12-2024_4,8.2:00,8.2:00,LIV,4
24-12-2024_4,8.5:00,8.5:00,BETH,5
24-12-2024_6,0.15:00,0.15:00,LIV,1
24-12-2024_6,0.45:00,0.45:00,BETH,2
24-12-2024_6,2:00,2:00,STR,3
24-12-2024_6,2.35:00,2.35:00,STD,4
24-12-2024_7,0.2:00,0.2:00,LIV,1
24-12-2024_7,0.5:00,0.5:00,BETH,2
24-12-2024_7,2.05:00,2.05:00,STR,3
24-12-2024_7,2.4:00,2.4:00,STD,4
24-12-2024_8,0.4:00,0.4:00,LIV,1
24-12-2024_8,1.05:00,1.05:00,BETH,2
24-12-2024_8,2.35:00,2.35:00,STR,3
24-12-2024_8,3.05:00,3.05:00,STD,4
24-12-2024_9,1.25:00,1.25:00,LIV,1
24-12-2024_9,1.55:00,1.55:00,BETH,2
24-12-2024_9,3.15:00,3.15:00,STR,3
24-12-2024_9,3.5:00,3.5:00,STD,4
25-12-2024_0,0.3:00,0.3:00,STD,1
25-12-2024_0,1:00,1:00,STR,2
25-12-2024_0,1.3:00,1.3:00,BETH,3
25-12-2024_0,2:00,2:00,LIV,4
25-12-2024_0,2.3:00,2.3:00,BETH,5
25-12-2024_1,0.5:00,0.5:00,STD,1
25-12-2024_1,1.2:00,1.2:00,STR,2
25-12-2024_1,1.5:00,1.5:00,BETH,3
25-12-2024_1,2.2:00,2.2:00,LIV,4
25-12-2024_1,2.5:00,2.5:00,BETH,5
25-12-2024_2,1.05:00,1.05:00,STD,1
25-12-2024_2,1.3:00,1.3:00,STR,2
25-12-2024_2,2:00,2:00,BETH,3
25-12-2024_2,2.3:00,2.3:00,LIV,4
25-12-2024_2,3:00,3:00,BETH,5
25-12-2024_3,1.15:00,1.15:00,STD,1
25-12-2024_3,1.4:00,1.4:00,STR,2
25-12-2024_3,2.1:00,2.1:00,BETH,3
25-12-2024_3,2.4:00,2.4:00,LIV,4
25-12-2024_3,3.1:00,3.1:00,BETH,5
25-12-2024_4,6.2:00,6.2:00,STD,1
25-12-2024_4,7.2:00,7.2:00,STR,2
25-12-2024_4,7.5:00,7.5:00,BETH,3
25-12-2024_4,8.2:00,8.2:00,LIV,4
25-12-2024_4,8.5:00,8.5:00,BETH,5
25-12-2024_6,0.15:00,0.15:00,LIV,1
25-12-2024_6,0.45:00,0.45:00,BETH,2
25-12-2024_6,2:00,2:00,STR,3
